Bahnhof;Latitude;Longitude;U1;U2;U3;U4;U5;U6;U7;U8;U9;U55
Adenauerplatz;52.50000;13.30720;;;;;;;1;;;
Afrikanische Str.;52.5603;13.3347;;;;;;1;;;;
Alexanderplatz;52.5214;13.4119;;1;;;1;;;1;;
Alt-Mariendorf;52.4397;13.3875;;;;;;1;;;;
Altstadt Spandau;52.5389;13.2064;;;;;;;1;;;
Alt-Tegel;52.5894;13.2836;;;;;;1;;;;
Alt-Tempelhof;52.4658;13.3856;;;;;;1;;;;
Amrumer Str.;52.5425;13.3503;;;;;;;;;1;
Augsburger Str.;52.500564;13.336756;;;1;;;;;;;
Bayerischer Platz;52.4886;13.34;;;;1;;;1;;;
Berliner Str.;52.4875;13.3311;;;;;;;1;;1;
Bernauer Str.;52.5375;13.3967;;;;;;;;1;;
Biesdorf-Süd;52.499514;13.547326;;;;;1;;;;;
Birkenstr.;52.5322;13.3414;;;;;;;;;1;
Bismarckstr.;52.5114;13.3047;;1;;;;;1;;;
Blaschkoallee;52.4525;13.4492;;;;;;;1;;;
Blissestr.;52.4864;13.3217;;;;;;;1;;;
Boddinstr.;52.479729;13.425878;;;;;;;;1;;
Borsigwerke;52.5817;13.2906;;;;;;1;;;;
Brandenburger Tor;52.516503;13.381802;;;;;;;;;;1
Breitenbachplatz;52.4669;13.3086;;;1;;;;;;;
Britz-Süd;52.4378;13.4483;;;;;;;1;;;
Bülowstr.;52.4977;13.3675;;1;;;;;;;;
Bundesplatz;52.477356;13.329085;;;;;;;;;1;
Bundestag;52.519921;13.373438;;;;;;;;;;1
Cottbusser Platz;52.533973;13.596958;;;;;1;;;;;
Dahlem-Dorf;52.4575;13.2897;;;1;;;;;;;
Deutsche Oper;52.5119;13.3106;;1;;;;;;;;
Eberswalder Str.;52.5419;13.4122;;1;;;;;;;;
Eisenacher Str.;52.489482;13.350243;;;;;;;1;;;
Elsterwerdaer Platz;52.5056;13.5606;;;;;1;;;;;
Ernst-Reuter-Platz;52.5128;13.3217;;1;;;;;;;;
Fehrbelliner Platz;52.4906;13.3144;;;1;;;;1;;;
Frankfurter Allee;52.51361;13.475139;;;;;1;;;;;
Frankfurter Tor;52.5158;13.4542;;;;;1;;;;;
Franz-Neumann-Platz;52.5647;13.3639;;;;;;;;1;;
Französische Str.;52.514787;13.390131;;;;;;1;;;;
Friedrichsfelde;52.505876;13.512854;;;;;1;;;;;
Friedrichstr.;52.520292;13.386943;;;;;;1;;;;
Friedrich-Wilhelm-Platz;52.4714;13.328615;;;;;;;;;1;
Gesundbrunnen;52.548814;13.388142;;;;;;;;1;;
Gleisdreieck;52.4983;13.3753;1;1;;;;;;;;
Gneisenaustr.;52.4914;13.3961;;;;;;;1;;;
Görlitzer Bhf.;52.499016;13.428503;1;;;;;;;;;
Grenzallee;52.463;13.445;;;;;;;1;;;
Neue Grottkauer Str.;52.528253;13.590867;;;;;1;;;;;
Güntzelstr.;52.491982;13.331264;;;;;;;;;1;
Halemweg;52.5367;13.2864;;;;;;;1;;;
Hallesches Tor;52.4978;13.3911;1;;;;;1;;;;
Hansaplatz;52.518095;13.342262;;;;;;;;;1;
Haselhorst;52.5389;13.2328;;;;;;;1;;;
Hauptbahnhof;52.525083;13.368944;;;;;;;;;;1
Hausvogteiplatz;52.5131;13.3967;;1;;;;;;;;
Heidelberger Platz;52.479439;13.311793;;;1;;;;;;;
Heinrich-Heine-Str.;52.510857;13.416243;;;;;;;;1;;
Hellersdorf;52.5367;13.6064;;;;;1;;;;;
Hermannplatz;52.4872;13.4247;;;;;;;1;1;;
Hermannstr.;52.467191;13.43164;;;;;;;;1;;
Hohenzollernplatz;52.4942;13.3247;;;1;;;;;;;
Holzhauser Str.;52.576255;13.295126;;;;;;1;;;;
Hönow;52.538108;13.634595;;;;;1;;;;;
Innsbrucker Platz;52.478095;13.342797;;;;1;;;;;;
Jakob-Kaiser-Platz;52.534345;13.293572;;;;;;;1;;;
Jannowitzbrücke;52.515507;13.417952;;;;;;;;1;;
Johannisthaler Chaussee;52.429;13.453;;;;;;;1;;;
Jungfernheide;52.530624;13.301498;;;;;;;1;;;
Kaiserdamm;52.51;13.2822;;1;;;;;;;;
Kaiserin-Augusta-Str.;52.46;13.3847;;;;;;1;;;;
Karl-Bonhoeffer- Nervenklinik;52.578166;13.332867;;;;;;;;1;;
Karl-Marx-Str.;52.4764;13.4392;;;;;;;1;;;
Kaulsdorf-Nord;52.5211;13.5889;;;;;1;;;;;
Kleistpark;52.490848;13.360981;;;;;;;1;;;
Klosterstr.;52.5161;13.4122;;1;;;;;;;;
Kochstr.;52.5058;13.3906;;;;;;1;;;;
Konstanzer Str.;52.493554;13.310163;;;;;;;1;;;
Kottbusser Tor;52.4992;13.4181;1;;;;;;;1;;
Krumme Lanke;52.4433;13.2411;;;1;;;;;;;
Kurfürstendamm;52.5042;13.3328;1;;;;;;;;1;
Kurfürstenstr.;52.5;13.3619;1;;;;;;;;;
Kurt-Schumacher-Platz;52.5633;13.3275;;;;;;1;;;;
Leinestr.;52.472871;13.428475;;;;;;;;1;;
Leopoldplatz;52.5467;13.3592;;;;;;1;;;1;
Lichtenberg;52.511486;13.497374;;;;;1;;;;;
Lindauer Allee;52.57541;13.339144;;;;;;;;1;;
Lipschitzallee;52.424642;13.463173;;;;;;;1;;;
Louis-Lewin-Str.;52.539145;13.619793;;;;;1;;;;;
Magdalenenstr.;52.512204;13.489503;;;;;1;;;;;
Märkisches Museum;52.5119;13.4089;;1;;;;;;;;
Mehringdamm;52.4944;13.3886;;;;;;1;1;;;
Mendelssohn-Bartholdy-Park;52.503803;13.374685;;1;;;;;;;;
Mierendorffplatz;52.5264;13.305;;;;;;;1;;;
Möckernbrücke;52.4992;13.3828;1;;;;;;1;;;
Mohrenstr.;52.5117;13.3847;;1;;;;;;;;
Moritzplatz;52.5036;13.4108;;;;;;;;1;;
Naturkundemuseum;52.5311;13.3825;;;;;;1;;;;
Nauener Platz;52.551521;13.367451;;;;;;;;;1;
Neukölln;52.469073;13.441721;;;;;;;1;;;
Neu-Westend;52.5156;13.2611;;1;;;;;;;;
Nollendorfplatz;52.4992;13.3539;1;1;1;1;;;;;;
Olympiastadion;52.5172;13.25;;1;;;;;;;;
Onkel-Toms-Hütte;52.450117;13.253917;;;1;;;;;;;
Oranienburger Tor;52.5256;13.3872;;;;;;1;;;;
Oskar-Helene-Heim;52.4503;13.2661;;;1;;;;;;;
Osloer Str.;52.5569;13.3736;;;;;;;;1;1;
Otisstr.;52.571104;13.303041;;;;;;1;;;;
Pankow;52.567282;13.412143;;1;;;;;;;;
Pankstr.;52.552265;13.381912;;;;;;;;1;;
Paracelsus-Bad;52.5742;13.3492;;;;;;;;1;;
Paradestr.;52.478165;13.386779;;;;;;1;;;;
Parchimer Allee;52.445354;13.449989;;;;;;;1;;;
Paulsternstr.;52.538104;13.248639;;;;;;;1;;;
Platz der Luftbrücke;52.4856;13.3858;;;;;;1;;;;
Podbielskiallee;52.464175;13.295203;;;1;;;;;;;
Potsdamer Platz;52.508769;13.376165;;1;;;;;;;;
Prinzenstr.;52.4983;13.4061;1;;;;;;;;;
Rathaus Neukölln;52.481065;13.435321;;;;;;;1;;;
Rathaus Reinickendorf;52.588217;13.325528;;;;;;;;1;;
Rathaus Schöneberg;52.483319;13.341981;;;;1;;;;;;
Rathaus Spandau;52.535514;13.19984;;;;;;;1;;;
Rathaus Steglitz;52.456428;13.320008;;;;;;;;;1;
Rehberge;52.557;13.341;;;;;;1;;;;
Reinickendorfer Str.;52.54;13.3703;;;;;;1;;;;
Residenzstr.;52.5711;13.3606;;;;;;;;1;;
Richard-Wagner-Platz;52.5169;13.3067;;;;;;;1;;;
Rohrdamm;52.536901;13.262956;;;;;;;1;;;
Rosa-Luxemburg-Platz;52.528201;13.410373;;1;;;;;;;;
Rosenthaler Platz;52.529765;13.401372;;;;;;;;1;;
Rüdesheimer Platz;52.472458;13.31446;;;1;;;;;;;
Rudow;52.4161;13.4953;;;;;;;1;;;
Ruhleben;52.5256;13.2414;;1;;;;;;;;
Samariterstr.;52.5147;13.4644;;;;;1;;;;;
Scharnweberstraße;52.567095;13.311588;;;;;;1;;;;
Schillingstr.;52.520332;13.421981;;;;;1;;;;;
Schlesisches Tor;52.5008;13.4417;1;;;;;;;;;
Schloßstr.;52.4608;13.3244;;;;;;;;;1;
Schönhauser Allee;52.549324;13.415076;;1;;;;;;;;
Schönleinstr.;52.4928;13.4219;;;;;;;;1;;
Schwartzkopffstr.;52.535394;13.37713;;;;;;1;;;;
Seestr.;52.548;13.347;;;;;;1;;;;
Senefelderplatz;52.532619;13.412679;;1;;;;;;;;
Siemensdamm;52.5367;13.2731;;;;;;;1;;;
Sophie-Charlotte-Platz;52.510973;13.297527;;1;;;;;;;;
Spichernstr.;52.496565;13.330671;;;1;;;;;;1;
Spittelmarkt;52.5111;13.4036;;1;;;;;;;;
Stadtmitte;52.5122;13.3894;;1;;;;1;;;;
Strausberger Platz;52.5181;13.4308;;;;;1;;;;;
Südstern;52.4894;13.4078;;;;;;;1;;;
Tempelhof;52.470691;13.385624;;;;;;1;;;;
Theodor-Heuss-Platz;52.5097;13.2731;;1;;;;;;;;
Thielplatz;52.4511;13.2819;;;1;;;;;;;
Tierpark;52.4981;13.5228;;;;;1;;;;;
Turmstr.;52.525935;13.341417;;;;;;;;;1;
Uhlandstr.;52.5025;13.3256;1;;;;;;;;;
Ullsteinstr.;52.453428;13.384835;;;;;;1;;;;
Viktoria-Luise-Platz;52.49607;13.343192;;;;1;;;;;;
Vinetastr.;52.559514;13.413738;;1;;;;;;;;
Voltastr.;52.5422;13.3931;;;;;;;;1;;
Walther-Schreiber-Platz;52.4661;13.3283;;;;;;;;;1;
Warschauer Str.;52.505842;13.449457;1;;;;;;;;;
Weberwiese;52.5167;13.445;;;;;1;;;;;
Wedding;52.542736;13.36596;;;;;;1;;;;
Weinmeisterstr.;52.525;13.405;;;;;;;;1;;
Westhafen;52.536162;13.343486;;;;;;;;;1;
Westphalweg;52.446;13.386;;;;;;1;;;;
Wilmersdorfer Str.;52.505834;13.30695;;;;;;;1;;;
Wittenau;52.595633;13.334618;;;;;;;;1;;
Wittenbergplatz;52.5019;13.3431;1;1;1;;;;;;;
Wuhletal;52.512394;13.57539;;;;;1;;;;;
Wutzkyallee;52.423;13.475;;;;;;;1;;;
Yorckstr.;52.492737;13.370515;;;;;;;1;;;
Zitadelle;52.5378;13.2178;;;;;;;1;;;
Zoologischer Garten;52.507272;13.33227;;1;;;;;;;1;
Zwickauer Damm;52.423022;13.484382;;;;;;;1;;;
